Title,Link,Policy Area,Focus,Country Coverage,Data Format,Authors,Type,Level of Observation,Start Date,End Date,Source,Language,World Region,Provider
Social Protection Responses to COVID-19 [Task force],https://socialprotection.org/connect/communities/social-protection-responses-covid-19-task-force,Social and Employment Policy; Health and Care Policy; Macroeconomic and Financial Policy; Gender; Civic Freedom and Human Rights; Collection of Sources,"Provides updates on how countries all around the world are responding to the COVID-19 crisis through social protection measures, through diverse formats including webinars, newsletters, global news sources, links to assessment and mappings, and expert advice.",worldwide,html,[Social Protection](https://twitter.com/sp_gateway),Collection,national,2020-03-18,up-to-date,International organisations; Media,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,International organisations
Paycheck Protection Program Loan Data,https://home.treasury.gov/news/press-releases/sm1052,Social and Employment Policy; Macroeconomic and Financial Policy,Detailed micro-level data on the financial assistance given to businesses through the US government’s Paycheck Protection Program. Needs authorization to access the full data.,USA,html,[U.S. Small Business Administration](https://twitter.com/sbagov),,sub-national,2020-04-03,2020-06-30,Governmental agencies,,North America,Governmental agencies
COVID-19 SBA loans above 150k,https://sba-loans-covid-19.datasettes.com/loans_150k_plus/foia_150k_plus,Social and Employment Policy; Macroeconomic and Financial Policy,Data on the financial assistance given to businesses through the US government’s Paycheck Protection Program that only includes loans above $150k to make the data more accessible.,USA,html,[Simon Willison](https://twitter.com/simonw); [U.S. Small Business Administration](https://twitter.com/sbagov),,sub-national,2020-04-03,2020-06-30,Governmental agencies,,North America,Governmental agencies
COVID-19 Treatment and Vaccine Tracker,https://airtable.com/shrSAi6t5WFwqo3GM/tblEzPQS5fnc0FHYR/viweyymxOAtNvo7yH?blocks=bipZFzhJ7wHPv7x9z,Vaccination,"The dataset tracks COVID-19 treatments and vaccines that are in use or in development, presenting their developers, product categories and the stage of development. Visualization available at https://www.covid-19vaccinetracker.org/",worldwide,html; csv,"[FasterCures, Milken Institute](https://twitter.com/fastercures)",,,2020-03-11,up-to-date,Companies,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Think tanks
COVID-19 Reported Patient Impact and Hospital Capacity by Facility ,https://healthdata.gov/Hospital/COVID-19-Reported-Patient-Impact-and-Hospital-Capa/anag-cw7u,Health and Care Policy,The dataset provides facility-level data for hospital utilization and coronavirus-related capacity aggregated on a weekly basis.,USA,csv; json; kmz; rdf; rss; xlsx,[U.S. Department of Health & Human Services](https://twitter.com/hhsgov),,sub-national,2020-12-12,up-to-date,Governmental agencies,,North America,Governmental agencies
COVID-19 Reported Patient Impact and Hospital Capacity by State ,https://healthdata.gov/dataset/COVID-19-Reported-Patient-Impact-and-Hospital-Capa/6xf2-c3ie,Health and Care Policy,The dataset provides state-aggregated data for hospital utilization and coronavirus-related capacity in the United States.,USA,csv; json; kmz; rdf; rss; xlsx,[U.S. Department of Health & Human Services](https://twitter.com/hhsgov),,sub-national,2020-12-14,up-to-date,Governmental agencies,,North America,Governmental agencies
COVID-19 Global Travel Restrictions and Airline Information ,https://data.humdata.org/dataset/covid-19-global-travel-restrictions-and-airline-information,Non-Pharmaceutical Interventions; Civic Freedom and Human Rights,The dataset shows current travel restrictions or restrictions taken by individual airlines.,worldwide,csv; json,[United Nations Office for the Coordination of Humanitarian Affairs](https://www.unocha.org/),Policy Tracker,national,2020-03-11,up-to-date,Governmental agencies; Companies,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,International organisations
Epidemic Forecasting: COVID-19,http://epidemicforecasting.org/,Cases and Deaths; Health and Care Policy; Non-Pharmaceutical Interventions; Civic Freedom and Human Rights,"Offers a tool to present the outbreak of COVID-19 and mitigation measures implemented by countries, including a global map of country-specific estimates of effective reproduction number and projections of country scenarios.",worldwide,html; csv,[Jan Kulveit](https://twitter.com/jankulveit); [Jacob Lagerros](https://twitter.com/jlagerros),Policy Tracker,national,2020-03-15,2021-03-05,Governmental agencies; Academics,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Academics
COVID-19 Vaccine Tracker,https://covid19.trackvaccines.org/,Vaccination,Tracks the progress of each of the COVID19 vaccine candidates including where they are being tested and where they have been approved.,worldwide,html,[Nicole E. Basta](https://twitter.com/idepiphd); [Erica E. M. Moodie](https://www.ericamoodie.com/),Policy Tracker,,2020-03-11,up-to-date,Governmental agencies; International organisations; Media,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Academics
European Union countries’ recovery and resilience plans,https://www.bruegel.org/publications/datasets/european-union-countries-recovery-and-resilience-plans/,Macroeconomic and Financial Policy; Environmental Policy,Provides cross-country comparisons of recovery plans from the coronavirus pandemic by EU countries that have submitted their plans.,EU; BEL; CYP; DNK; FRA; DEU; GRC; HUN; ITA; LUX; POL; PRT; SVK; SVN; ESP,html,[Zsolt Darvas](https://twitter.com/zsoltdarvas); Marta Domínguez-Jiménez; Monika Grzegorczyk; Lionel Guetta-Jeanrenaud; Mia Hoffmann; Klaas Lenaerts; Tom Schraepen; Alkiviadis Tzaras; Pauline Weil,Policy Tracker,national,2021-04-30,up-to-date,Governmental agencies; International organisations,,West Europe; Eastern Europe & Central Asia; European Union,Think tanks
SBA data on businesses that received PPP loans in the USA,https://www.washingtonpost.com/graphics/2020/business/sba-ppp-data/,Social and Employment Policy; Macroeconomic and Financial Policy,"The dataset includes the exact amounts of loans issued for more than 600,000 small businesses and nonprofit organizations that received at least $150,000 in loans as part of the $2 trillion Cares Act.",USA,html,[Washington Post](https://twitter.com/washingtonpost); [Alyssa Fowers](https://twitter.com/alyssafowers); [Andrew Van Dam](https://twitter.com/andrewvandam); [Jonathan O'Connell](https://www.washingtonpost.com/people/jonathan-oconnell/); [Aaron Gregg](https://twitter.com/Post_AG),,sub-national,2020-04-03,2020-06-30,Governmental agencies,,North America,Media
COVID-19 Global Education Recovery Tracker ,https://www.covideducationrecovery.global/,Education Policy,"Tracks ongoing information about the global status of schools, teachers and students amid the COVID-19 pandemic, such as in-person/remote teaching and its related support.",worldwide,html; csv; pdf; json,[Johns Hopkins University eSchool+ Initiative](https://equityschoolplus.jhu.edu/); [World Bank](https://twitter.com/worldbank); [UNICEF](https://twitter.com/unicef),Policy Tracker,national,2020-03-11,up-to-date,Governmental agencies; International organisations,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Academics; International organisations
A Good Reason: A chronicle of stay-at-home orders in Europe ,https://www.a-good-reason.eu/,Non-Pharmaceutical Interventions; Civic Freedom and Human Rights,A complete dataset of lockdown policies in Europe.,ALB; AND; AUT; BLR; BEL; BIH; BGR; HRV; CYP; CZE; DNK; EST; FIN; FRA; DEU; GRC; HUN; ISL; IRL; ITA; KOV; LVA; LIE; LTU; LUX; MLT; MDA; MCO; MNE; NLD; MKD; NOR; POL; PRT; ROU; RUS; SMR; SRB; SVK; SVN; ESP; SWE; CHE; TUR; UKR; GBR,csv; xlsx,[Jean Merlin von Agris](https://www.a-good-reason.eu/kontakt),Policy Tracker,national,2020-01-01,2021-05-15,Governmental agencies; International organisations; Media,,West Europe; Eastern Europe & Central Asia,
Covid-19 Food Policy in South Africa - The First Four Months,https://foodresearch.org.uk/publications/covid-19-food-policy-in-south-africa-the-first-four-months/,Agriculture; Environmental Policy; Social and Employment Policy,"Provides how the South African government responded to the crisis focusing on food policy, such as food safety and sanitation, supporting food businesses and people’s access to food.",ZAF ,html; xlsx,[Laura Pereira](https://twitter.com/laurap18); [Corinna Hawkes](https://twitter.com/corinnahawkes); [Gavin Wren](https://twitter.com/gavinwren),Policy Tracker,national,2020-03-11,2020-07-24,Governmental agencies,,Sub-Saharan Africa,Academics
Covid-19 Food Policy in England - The First Four Months,https://foodresearch.org.uk/publications/covid-19-food-policy-in-england-the-first-four-months/,Agriculture; Environmental Policy; Social and Employment Policy,"Provides how the English government responded to the crisis focusing on food policy, such as food safety and sanitation, supporting food businesses and people’s access to food.",GBR,html; xlsx,[Rosalind Sharpe](https://twitter.com/greenfoodpolicy); [Corinna Hawkes](https://twitter.com/corinnahawkes); [Gavin Wren](https://twitter.com/gavinwren),Policy Tracker,national,2020-03-12,2020-07-18,Governmental agencies,,West Europe,Academics
Covid-19 Food Policy in India - The First Four Months,https://foodresearch.org.uk/publications/covid-19-food-policy-in-india-the-first-four-months/,Agriculture; Environmental Policy; Social and Employment Policy,"Provides how the Central Indian government responded to the crisis focusing on food policy, such as food safety and sanitation, supporting food businesses and people’s access to food.",IND,html; xlsx,[Kerry Brown](https://twitter.com/Brown_KA); [Mridula Paul](https://twitter.com/mridulampaul); [Piyu Sharma](https://www.devnetjobsindia.org/myProfile.aspx?Can_Id=411487)](https://twitter.com/gavinwren)[Corinna Hawkes](https://twitter.com/corinnahawkes); [Gavin Wren](https://twitter.; om/gavinwren),Policy Tracker,national,2020-03-13,2020-07-09,Governmental agencies,,Southeast Asia,Academics
Stanford School Enrollment Project 2020-2021,https://stanford-school-enrollment-project.datasette.io/,Education Policy,"Examines COVID-19’s impact on school enrollment from 33 state education departments including ~70,000 public schools. Most states provided data down to the grade level; some also provided student counts by gender, race, ethnicity, ELL status, homelessness, economic status, and/or disability. The timeframes vary, but include at least the 2019–20 and 2020–21 school years for each state. Bulk download: https://purl.stanford.edu/zf406jp4427",USA,csv; html,Stanford University; [Big Local News](https://biglocalnews.org/#/login),Policy Tracker,sub-national,2020-09-01,2021-08-31,Media,,North America,Academics
ECDC-JRC Response Measures Database ,https://covid-statistics.jrc.ec.europa.eu/RMeasures,Non-Pharmaceutical Interventions,A regularly updated archive of non-pharmaceutical interventions (NPIs) in seven categories introduced by 30 countries in the European Union (EU) and European Economic Area (EEA).,BEL; BGR; HRV; CYP; CZE; DNK; EST; FIN; FRA; DEU; GRC; HUN; ISL; IRL; ITA; LVA; LIE; LTU; LUX; MLT; NLD; NOR; POL; PRT; ROU; SVK; SVN; ESP; SWE; AUT,csv; xlsx,[European Centre for Disease Prevention and Control](https://www.ecdc.europa.eu/en); [Joint Research Centre](https://twitter.com/eu_sciencehub),Policy Tracker,national,2020-01-01,up-to-date,Governmental agencies; Media,,West Europe; Eastern Europe & Central Asia,International organisations
COVID-19 School Data Hub,https://www.covidschooldatahub.com/,Education Policy,"A central database for educators, researchers, and policymakers to understand how the COVID-19 pandemic shaped students’ modes of learning in 2020-21 in the USA.",USA,html; csv; xlsx,[Emily Oster](https://emilyoster.net/),Policy Tracker,sub-national,2020-09-01,2021-05-31,Governmental agencies,,North America,Academics
